company,individual,role,start_date,end_date,is_current,is_leadership,littlesis_person_id,littlesis_company_id,company_matched_name
Bradford Energy,Kathy Hourihan,Controller,,,,False,109841,109836,Bradford Energy Capital LLC
Bradford Energy,Roger Fout,Director of Market Management,,,,True,109840,109836,Bradford Energy Capital LLC
Bradford Energy,Chris Spence,Director of Market Management,,,,True,109839,109836,Bradford Energy Capital LLC
Bradford Energy,Daniel Mullan,Chairman,,,True,True,109837,109836,Bradford Energy Capital LLC
Bradford Energy,John C Farmelo,President & CEO,,,True,True,58763,109836,Bradford Energy Capital LLC
Bradford Energy,C Alan Walker,Owner & CEO,,,True,True,83008,85600,Bradford Energy Company
Buffalo Coal,Malcolm Campbell,Chief Executive Officer,,2015-00-00,,True,289082,220990,Buffalo Coal Corp
Buffalo Coal,Kevern Mattison,General Manager,,2015-00-00,,True,302436,220990,Buffalo Coal Corp
Buffalo Coal,John Wallington,Director (Board of Directors),,2015-00-00,,True,313065,220990,Buffalo Coal Corp
Buffalo Coal,Eddie Scholtz,Director (Board of Directors),,2015-00-00,,True,309151,220990,Buffalo Coal Corp
Buffalo Coal,Sarah Williams,Chief Finacial Officer,,2015-00-00,,True,323426,220990,Buffalo Coal Corp
Buffalo Coal,Craig Roy Wiggill,Director (Board of Directors),,2015-00-00,,True,313639,220990,Buffalo Coal Corp
Buffalo Coal,Lorraine Harrison,Corporate Secretary,,2015-00-00,,False,296117,220990,Buffalo Coal Corp
Buffalo Coal,David Thomas,Director (Board of Directors),,2015-00-00,,True,323142,220990,Buffalo Coal Corp
Buffalo Coal,Robert Francis,Director (Board of Directors),,2015-00-00,,True,321086,220990,Buffalo Coal Corp
Center For Energy & Economic Development,Douglas Holtz-Eakin,Board member,,,,True,43799,51607,Center for Energy and Economic Development
Center For Energy & Economic Development,Don Blankenship,,,,False,False,10540,51607,Center for Energy and Economic Development
Clean Coal Technologies,Thomas Warren Shreve,Independent Director,2015-00-00,,True,True,244174,244176,"Clean Coal Technologies, Inc."
Coal,"Patrick J Bartels, Jr.",Director,2016-10-00,,True,True,432993,793,"Arch Resources, Inc."
Coal,Dave Freudenthal,,2011-12-00,,True,False,34491,793,"Arch Resources, Inc."
Coal,Steven F Leer,Chairman,,,False,True,6931,793,"Arch Resources, Inc."
Coal,Steven F Leer,CEO,1992-00-00,,False,True,6931,793,"Arch Resources, Inc."
Coal,Steven F Leer,Director,1992-00-00,,False,True,6931,793,"Arch Resources, Inc."
Coal,Brian J Jennings,Director,2006-00-00,,False,True,10529,793,"Arch Resources, Inc."
Coal,James R Boyd,Director,1990-00-00,,False,True,3293,793,"Arch Resources, Inc."
Coal,Robert G Potter,Director,2001-00-00,,False,True,10528,793,"Arch Resources, Inc."
Coal,A Michael Perry,Director,1998-00-00,,False,True,10527,793,"Arch Resources, Inc."
Coal,Allen R Kelley,VP - Human Resources,2014-03-00,,True,True,190855,793,"Arch Resources, Inc."
Coal,James A Sabala,,2015-02-00,,True,False,190854,793,"Arch Resources, Inc."
Coal,Frank M Burke,Director,2000-00-00,,False,True,8129,793,"Arch Resources, Inc."
Coal,Thomas A Lockhart,Director,2003-00-00,,False,True,10530,793,"Arch Resources, Inc."
Coal,Jeffrey W Strobel,"Vice Pres, Bus Dev & Strategy",2011-10-00,,True,False,121936,793,"Arch Resources, Inc."
Coal,George C Morris III,,2012-03-00,,True,False,121935,793,"Arch Resources, Inc."
Coal,John A Ziegler,Vice President - HR,2012-04-00,,True,True,121934,793,"Arch Resources, Inc."
Coal,Paul T Hanrahan,,2012-06-00,,True,False,3501,793,"Arch Resources, Inc."
Coal,Kenneth D Cochran,Sr VP - Operations,2012-08-00,,True,True,121933,793,"Arch Resources, Inc."
Coal,Wendy Hutchinson,Environmental compliance,,,True,False,103872,793,"Arch Resources, Inc."
Coal,Douglas H Hunt,Director,1995-00-00,,True,True,10531,793,"Arch Resources, Inc."
Coal,James R Boyd,Chairman of the Board,1998-00-00,2006-00-00,False,True,3293,793,"Arch Resources, Inc."
Coal,David B Peugh,Vice President - Bus Dev,,,True,True,64414,793,"Arch Resources, Inc."
Coal,John W Lorson,Vice President,,,True,True,64413,793,"Arch Resources, Inc."
Coal,John W Lorson,Chief Accounting Officer,,,True,True,64413,793,"Arch Resources, Inc."
Coal,Deck Slone,VP/Govt Investor & Public Aff,,,True,True,64412,793,"Arch Resources, Inc."
Coal,Sheila B Feldman,VP - Human Resources,,,True,True,64411,793,"Arch Resources, Inc."
Coal,C Henry Besten Jr,Senior VP-Strategic Dev,,,True,True,64410,793,"Arch Resources, Inc."
Coal,David N Warnecke,VP-Marketing & Trading,,,True,True,64409,793,"Arch Resources, Inc."
Coal,John T Drexler,CFO,2008-05-00,,True,False,64408,793,"Arch Resources, Inc."
Coal,John T Drexler,Senior Vice President,2008-05-00,,True,True,64408,793,"Arch Resources, Inc."
Coal,J Thomas Jones,,2010-07-00,,True,False,64407,793,"Arch Resources, Inc."
Coal,Peter I Wold,,2010-07-00,,True,False,64406,793,"Arch Resources, Inc."
Coal,John Snider,Lobbyist,,,,False,27772,793,"Arch Resources, Inc."
Coal,Thomas Altmeyer,Lobbyist,,,,False,27771,793,"Arch Resources, Inc."
Coal,Wes M Taylor,Director,2005-00-00,,True,True,3815,793,"Arch Resources, Inc."
Coal,Theodore D Sands,Director,1999-00-00,,True,True,10526,793,"Arch Resources, Inc."
Coal,Patricia Fry Godley,Director,2004-00-00,,True,True,10525,793,"Arch Resources, Inc."
Coal,John W Eaves,Director,2006-00-00,,True,True,10532,793,"Arch Resources, Inc."
Coal,Robert J Messey,Senior Vice President,,,True,True,10535,793,"Arch Resources, Inc."
Coal,Robert J Messey,CFO,,,True,False,10535,793,"Arch Resources, Inc."
Coal,Robert G Jones,Secretary,,,True,False,10534,793,"Arch Resources, Inc."
Coal,Robert G Jones,Vice President (Law),,,True,True,10534,793,"Arch Resources, Inc."
Coal,Robert G Jones,General Counsel,,,True,False,10534,793,"Arch Resources, Inc."
Coal,Paul A Lang,Senior Vice President (Operations),,,True,True,10533,793,"Arch Resources, Inc."
Coal,John W Eaves,President,,,True,True,10532,793,"Arch Resources, Inc."
Coal,John W Eaves,COO,,,True,False,10532,793,"Arch Resources, Inc."
Coal,John E Lushefski,,,2015-00-00,False,False,64981,83135,Patriot Coal Corporation
Coal,John E Lushefski,SVP - Chief Financial Officer,2012-00-00,2015-00-00,False,True,64981,83135,Patriot Coal Corporation
Coal,Eugene I Davis,Chairman,2015-04-03,,True,True,60204,83135,Patriot Coal Corporation
Coal,Bennett K Hatfield,,,,True,False,123477,83135,Patriot Coal Corporation
Coal,Jake F Erhard,,2008-08-00,,False,False,64973,83135,Patriot Coal Corporation
Coal,Janiece M Longoria,,2011-01-00,,True,False,4642,83135,Patriot Coal Corporation
Coal,Bennett K Hatfield,Executive Vice President,2011-09-00,,True,True,123477,83135,Patriot Coal Corporation
Coal,Bennett K Hatfield,COO,2011-09-00,,True,False,123477,83135,Patriot Coal Corporation
Coal,Christopher K Knibb,CAO,2011-10-00,,,False,123476,83135,Patriot Coal Corporation
Coal,Michael D Day,EVP - Operations,2013-02-00,,True,True,123475,83135,Patriot Coal Corporation
Coal,J Joe Adorjan,,,,True,False,64982,83135,Patriot Coal Corporation
Coal,Michael M Scharf,,,,True,False,64983,83135,Patriot Coal Corporation
Coal,Michael V Altrudo,SVP,,,,True,64984,83135,Patriot Coal Corporation
Coal,Charles A Ebetino Jr,SVP Corporate Development,,,True,True,64979,83135,Patriot Coal Corporation
Coal,Irl F Engelhardt,,,,True,False,1289,83135,Patriot Coal Corporation
Coal,Irl F Engelhardt,Executive Advisor,,,True,True,1289,83135,Patriot Coal Corporation
Coal,Michael P Johnson,,2008-07-00,,True,False,3807,83135,Patriot Coal Corporation
Coal,Jiri Nemec,SVP,,,,True,6601,83135,Patriot Coal Corporation
Coal,Richard M Whiting,,,,True,False,6602,83135,Patriot Coal Corporation
Coal,B R Brown,,,,True,False,6603,83135,Patriot Coal Corporation
Coal,Paul H Vining,President,2008-07-00,,True,True,64975,83135,Patriot Coal Corporation
Coal,Paul H Vining,COO,2008-07-00,,True,False,64975,83135,Patriot Coal Corporation
Coal,K Susan Billiot,SVP - Human Resources,2008-07-00,,,True,64976,83135,Patriot Coal Corporation
Coal,Robert O Viets,,,,True,False,64977,83135,Patriot Coal Corporation
Coal,Mark N Schroeder,SVP,,,True,True,64978,83135,Patriot Coal Corporation
Coal,Mark N Schroeder,CFO,,,True,False,64978,83135,Patriot Coal Corporation
Coal,Joseph W Bean,"SVP-Law & Admin, GC & Secy",,,True,True,64980,83135,Patriot Coal Corporation
Coal,Richard M Whiting,Chief Executive Officer,,,True,True,6602,83135,Patriot Coal Corporation
Coal,Robert Bennett,SVP - Chief Marketing Officer,2009-05-00,,,True,64969,83135,Patriot Coal Corporation
Coal,Robb E Turner,,2008-08-00,,True,False,64971,83135,Patriot Coal Corporation
Coal,David McKinley,House chairman,2015-00-00,,True,True,91607,356895,Coal Caucus
Coal,Gordon Gee,Director,2000-00-00,2009-05-00,False,True,170098,794,Massey Energy
Coal,Michael Keith Snelling,Vice President (Surface Operations),,,False,True,10543,794,Massey Energy
Coal,Robert B Holland III,,2010-08-00,,False,False,64253,794,Massey Energy
Coal,Linda J Welty,,2010-08-00,,False,False,64254,794,Massey Energy
Coal,James Bartlett Crawford,Director,2005-00-00,,False,True,10547,794,Massey Energy
Coal,Stanley C Suboleski,,2008-05-00,,False,False,51608,794,Massey Energy
Coal,Lady Judge,Director,2008-00-00,,False,True,10549,794,Massey Energy
Coal,Richard Marcel Gabrys,Director,2007-00-00,,False,True,10544,794,Massey Energy
Coal,Robert H Foglesong,Director,2006-00-00,,False,True,10548,794,Massey Energy
Coal,Bobby Ray Inman,Director,1985-00-00,,False,True,10538,794,Massey Energy
Coal,Dan R Moore,Director,2002-00-00,,False,True,10537,794,Massey Energy
Coal,Don Blankenship,Director,1996-00-00,,False,True,10540,794,Massey Energy
Coal,Baxter F Phillips Jr,Director,2007-00-00,,False,True,10536,794,Massey Energy
