Company Name,Category,"(Utilities Only) 
Percentage generation fossil fuels","(Utilities Only) 
Investment in new fossil fuel infrastructure","(Utilities Only) 
Percentage revenue derived from fossil fuels"
Coal Centrifuge Services,Coal Mining,,,
Coal Centrifuge Svc,Coal Mining,,,
Coal City Cob,Coal Mining,,,
Coal City Cob Co,Coal Mining,,,
Coal Co,Coal Mining,,,
Coal Co Manager,Coal Mining,,,
Coal Coalition,Coal Mining,,,
Coal Contractors 1991 Inc,Coal Mining,,,
Coal Corp,Coal Mining,,,
Coal Council,Coal Mining,,,
Coal County Democratic Party,Coal Mining,,,
Coal Creek Canyon Fpd,Coal Mining,,,
Coal Creek Construction,Coal Mining,,,
Coal Creek Elementary School,Coal Mining,,,
Coal Creek Golf Course,Coal Mining,,,
Coal Creek Partners,Coal Mining,,,
Coal Creek Utility District,Coal Mining,,,
Coal Development,Coal Mining,,,
Coal Emissions Reduction Technologies,Coal Mining,,,
Coal End Childhood,Coal Mining,,,
Coal Energy Resources,Coal Mining,,,
Coal Energy Resources Inc,Coal Mining,,,
Coal Export Services International,Coal Mining,,,
Coal Field,Coal Mining,,,
Coal Fillers,Coal Mining,,,
Coal Fillers Inc,Coal Mining,,,
Coal For Kentuckys Future,Coal Mining,,,
Coal For Kys Future,Coal Mining,,,
Coal Fuel Systems LLC,Coal Mining,,,
Coal Hauler,Coal Mining,,,
Coal Hill Mining,Coal Mining,,,
Coal Hill Mining Co,Coal Mining,,,
Coal Innovations LLC,Coal Mining,,,
Coal Loader,Coal Mining,,,
Coal Mac,Coal Mining,,,
Coal Mac Coal Co,Coal Mining,,,
Coal Mac Inc,Coal Mining,,,
Coal Management,Coal Mining,,,
Coal Management Inc,Coal Mining,,,
Coal Mine Examiners,Coal Mining,,,
Coal Mine Operator,Coal Mining,,,
Coal Mine Owner,Coal Mining,,,
Coal Miners Inc,Coal Mining,,,
"Coal Mining, Real Estate",Coal Mining,,,
Coal Network,Coal Mining,,,
Coal Operator/King Brothers Coal,Coal Mining,,,
Coal Operators & Assoc,Coal Mining,,,
Coal Operators Analytical Labs,Coal Mining,,,
Coal Plex Int,Coal Mining,,,
Coal Point Trading Co,Coal Mining,,,
